index,day_of_week,month,hour,x_coord,y_coord,delays
169,5.0,4.0,1.0,-84.411356,33.804207,221.275
170,5.0,4.0,2.0,-84.411356,33.804207,214.5
171,5.0,4.0,3.0,-84.411356,33.804207,209.7
172,5.0,4.0,4.0,-84.411356,33.804207,202.05
173,5.0,4.0,5.0,-84.411356,33.804207,201.85
174,5.0,4.0,6.0,-84.411356,33.804207,201.85
175,5.0,4.0,7.0,-84.411356,33.804207,201.85
176,5.0,4.0,8.0,-84.411356,33.804207,200.55
177,5.0,4.0,9.0,-84.411356,33.804207,202.05
178,5.0,4.0,10.0,-84.411356,33.804207,204.2
179,5.0,4.0,11.0,-84.411356,33.804207,189.22
180,5.0,4.0,12.0,-84.411356,33.804207,111.2
181,5.0,4.0,13.0,-84.411356,33.804207,114.27083333333334
182,5.0,4.0,14.0,-84.411356,33.804207,133.9625
183,5.0,4.0,15.0,-84.411356,33.804207,145.45833333333334
184,5.0,4.0,16.0,-84.411356,33.804207,159.30833333333334
185,5.0,4.0,17.0,-84.411356,33.804207,128.73333333333335
186,5.0,4.0,18.0,-84.411356,33.804207,87.45666666666668
187,5.0,4.0,19.0,-84.411356,33.804207,124.4
188,5.0,4.0,20.0,-84.411356,33.804207,91.87857142857142
189,5.0,4.0,21.0,-84.411356,33.804207,91.52000000000001
190,5.0,4.0,22.0,-84.411356,33.804207,93.94
191,5.0,4.0,23.0,-84.411356,33.804207,111.51666666666665
192,5.0,4.0,0.0,-84.373807,33.760116,104.61666666666665
193,5.0,4.0,1.0,-84.373807,33.760116,80.0875
194,5.0,4.0,2.0,-84.373807,33.760116,82.5975
195,5.0,4.0,3.0,-84.373807,33.760116,84.775
196,5.0,4.0,4.0,-84.373807,33.760116,91.09166666666667
197,5.0,4.0,5.0,-84.373807,33.760116,138.06666666666666
198,5.0,4.0,6.0,-84.373807,33.760116,137.65
199,5.0,4.0,7.0,-84.373807,33.760116,136.3
200,5.0,4.0,8.0,-84.373807,33.760116,90.425
201,5.0,4.0,9.0,-84.373807,33.760116,89.925
202,5.0,4.0,10.0,-84.373807,33.760116,99.375
203,5.0,4.0,11.0,-84.373807,33.760116,83.89285714285714
204,5.0,4.0,12.0,-84.373807,33.760116,98.45500000000001
205,5.0,4.0,13.0,-84.373807,33.760116,145.83999999999997
206,5.0,4.0,14.0,-84.373807,33.760116,96.88571428571427
207,5.0,4.0,15.0,-84.373807,33.760116,118.44083333333333
208,5.0,4.0,16.0,-84.373807,33.760116,96.12083333333334
209,5.0,4.0,17.0,-84.373807,33.760116,90.53333333333333
210,5.0,4.0,18.0,-84.373807,33.760116,120.30666666666666
211,5.0,4.0,19.0,-84.373807,33.760116,120.2
212,5.0,4.0,20.0,-84.373807,33.760116,146.45
213,5.0,4.0,21.0,-84.373807,33.760116,130.8
214,5.0,4.0,22.0,-84.373807,33.760116,104.20749999999998
215,5.0,4.0,23.0,-84.373807,33.760116,97.84583333333333
216,5.0,4.0,0.0,-84.411913,33.741137,645.35
217,5.0,4.0,1.0,-84.411913,33.741137,835.25
218,5.0,4.0,2.0,-84.411913,33.741137,733.9333333333334
219,5.0,4.0,3.0,-84.411913,33.741137,655.0333333333334
220,5.0,4.0,4.0,-84.411913,33.741137,669.4833333333333
221,5.0,4.0,5.0,-84.411913,33.741137,625.5083333333334
222,5.0,4.0,6.0,-84.411913,33.741137,648.0083333333334
223,5.0,4.0,7.0,-84.411913,33.741137,737.3583333333333
224,5.0,4.0,8.0,-84.411913,33.741137,707.1583333333334
225,5.0,4.0,9.0,-84.411913,33.741137,402.1
226,5.0,4.0,10.0,-84.411913,33.741137,356.15
227,5.0,4.0,11.0,-84.411913,33.741137,356.15
228,5.0,4.0,12.0,-84.411913,33.741137,516.925
229,5.0,4.0,13.0,-84.411913,33.741137,680.8
230,5.0,4.0,14.0,-84.411913,33.741137,490.2
231,5.0,4.0,15.0,-84.411913,33.741137,358.4
232,5.0,4.0,16.0,-84.411913,33.741137,233.41666666666669
233,5.0,4.0,17.0,-84.411913,33.741137,247.9666666666667
234,5.0,4.0,18.0,-84.411913,33.741137,422.20833333333337
235,5.0,4.0,19.0,-84.411913,33.741137,252.925
236,5.0,4.0,20.0,-84.411913,33.741137,269.25
237,5.0,4.0,21.0,-84.411913,33.741137,259.79
238,5.0,4.0,22.0,-84.411913,33.741137,262.0
239,5.0,4.0,23.0,-84.411913,33.741137,298.325
240,5.0,4.0,0.0,-84.367398,33.743262,187.37
241,5.0,4.0,1.0,-84.367398,33.743262,153.78333333333336
242,5.0,4.0,2.0,-84.367398,33.743262,110.64583333333334
243,5.0,4.0,3.0,-84.367398,33.743262,116.84583333333335
244,5.0,4.0,4.0,-84.367398,33.743262,111.1625
245,5.0,4.0,5.0,-84.367398,33.743262,111.47916666666667
246,5.0,4.0,6.0,-84.367398,33.743262,109.82916666666668
247,5.0,4.0,7.0,-84.367398,33.743262,114.57916666666668
248,5.0,4.0,8.0,-84.367398,33.743262,118.22916666666667
249,5.0,4.0,9.0,-84.367398,33.743262,116.97916666666667
250,5.0,4.0,10.0,-84.367398,33.743262,111.87916666666668
251,5.0,4.0,11.0,-84.367398,33.743262,113.88916666666667
252,5.0,4.0,12.0,-84.367398,33.743262,117.70583333333332
253,5.0,4.0,13.0,-84.367398,33.743262,121.08333333333333
254,5.0,4.0,14.0,-84.367398,33.743262,146.60833333333332
255,5.0,4.0,15.0,-84.367398,33.743262,371.825
256,5.0,4.0,16.0,-84.367398,33.743262,114.45
257,5.0,4.0,17.0,-84.367398,33.743262,117.9
258,5.0,4.0,18.0,-84.367398,33.743262,118.1
259,5.0,4.0,19.0,-84.367398,33.743262,99.7375
260,5.0,4.0,20.0,-84.367398,33.743262,118.94583333333335
261,5.0,4.0,21.0,-84.367398,33.743262,189.1875
262,5.0,4.0,22.0,-84.367398,33.743262,219.80416666666665
